,Word1,Word2,Word3,Target,Predicted
0,athens,greece,baghdad,iraq,kirkuk
1,athens,greece,bangkok,thailand,bhutan
2,athens,greece,bern,switzerland,aargau
3,athens,greece,canberra,australia,asio
4,athens,greece,hanoi,vietnam,vientiane
5,athens,greece,havana,cuba,gooding
6,athens,greece,helsinki,finland,tallinn
7,athens,greece,london,england,longman
8,baghdad,iraq,beijing,china,prc
9,baghdad,iraq,bern,switzerland,aargau
10,baghdad,iraq,cairo,egypt,libya
11,baghdad,iraq,london,england,britain
12,baghdad,iraq,madrid,spain,honduras
13,baghdad,iraq,moscow,russia,soviet
14,baghdad,iraq,oslo,norway,accords
15,bangkok,thailand,bern,switzerland,aargau
16,bangkok,thailand,canberra,australia,ecozone
17,bangkok,thailand,hanoi,vietnam,laos
18,bangkok,thailand,helsinki,finland,tallinn
19,bangkok,thailand,islamabad,pakistan,baluchistan
20,bangkok,thailand,london,england,croydon
21,bangkok,thailand,madrid,spain,galicia
22,bangkok,thailand,ottawa,canada,manitoba
23,bangkok,thailand,rome,italy,constantinople
24,bangkok,thailand,tokyo,japan,osaka
25,bangkok,thailand,athens,greece,thebes
26,bangkok,thailand,baghdad,iraq,hussein
27,beijing,china,bern,switzerland,aargau
28,beijing,china,hanoi,vietnam,tuva
29,beijing,china,rome,italy,sicily
30,beijing,china,baghdad,iraq,persia
31,beijing,china,bangkok,thailand,tuva
32,berlin,germany,bern,switzerland,alsace
33,berlin,germany,hanoi,vietnam,phnom
34,berlin,germany,havana,cuba,france
35,berlin,germany,helsinki,finland,espoo
36,berlin,germany,kabul,afghanistan,mujahedin
37,berlin,germany,madrid,spain,france
38,berlin,germany,baghdad,iraq,persia
39,berlin,germany,beijing,china,japan
40,bern,switzerland,kabul,afghanistan,taliban
41,bern,switzerland,london,england,sydney
42,bern,switzerland,oslo,norway,dflp
43,bern,switzerland,baghdad,iraq,abbasid
44,bern,switzerland,beijing,china,wushu
45,cairo,egypt,london,england,britain
46,cairo,egypt,rome,italy,carthage
47,cairo,egypt,tokyo,japan,osaka
48,cairo,egypt,bern,switzerland,aargau
49,canberra,australia,moscow,russia,soviet
50,canberra,australia,athens,greece,aegina
51,canberra,australia,baghdad,iraq,abbasid
52,canberra,australia,bern,switzerland,aargau
53,hanoi,vietnam,helsinki,finland,finnish
54,hanoi,vietnam,islamabad,pakistan,unicef
55,hanoi,vietnam,moscow,russia,soviet
56,hanoi,vietnam,rome,italy,hispania
57,hanoi,vietnam,tehran,iran,iraq
58,hanoi,vietnam,athens,greece,athenians
59,hanoi,vietnam,bangkok,thailand,apec
60,hanoi,vietnam,beijing,china,taiwan
61,hanoi,vietnam,bern,switzerland,aargau
62,hanoi,vietnam,canberra,australia,nsw
63,havana,cuba,london,england,docklands
64,havana,cuba,moscow,russia,soviet
65,havana,cuba,oslo,norway,accords
66,havana,cuba,rome,italy,carthage
67,havana,cuba,beijing,china,prc
68,havana,cuba,bern,switzerland,aargau
69,helsinki,finland,rome,italy,caesar
70,helsinki,finland,athens,greece,sparta
71,helsinki,finland,bern,switzerland,aargau
72,islamabad,pakistan,rome,italy,constantinople
73,islamabad,pakistan,baghdad,iraq,pakistani
74,islamabad,pakistan,bern,switzerland,aargau
75,islamabad,pakistan,canberra,australia,nsw
76,kabul,afghanistan,london,england,oxford
77,kabul,afghanistan,oslo,norway,accords
78,kabul,afghanistan,rome,italy,greece
79,kabul,afghanistan,tokyo,japan,osaka
80,kabul,afghanistan,bern,switzerland,aargau
81,kabul,afghanistan,canberra,australia,nsw
82,kabul,afghanistan,helsinki,finland,vantaa
83,london,england,rome,italy,gaul
84,london,england,athens,greece,athenians
85,london,england,baghdad,iraq,abbasid
86,london,england,bangkok,thailand,sihanoukville
87,london,england,bern,switzerland,aargau
88,london,england,cairo,egypt,medina
89,london,england,havana,cuba,cortes
90,london,england,kabul,afghanistan,shuja
91,madrid,spain,oslo,norway,denmark
92,madrid,spain,rome,italy,roman
93,madrid,spain,baghdad,iraq,abbasid
94,madrid,spain,bern,switzerland,aargau
95,madrid,spain,hanoi,vietnam,tonkin
96,madrid,spain,havana,cuba,gooding
97,madrid,spain,helsinki,finland,denmark
98,madrid,spain,kabul,afghanistan,sultanate
99,moscow,russia,rome,italy,papacy
100,moscow,russia,tokyo,japan,nagoya
101,moscow,russia,baghdad,iraq,persia
102,moscow,russia,bern,switzerland,aargau
103,moscow,russia,hanoi,vietnam,tonkin
104,moscow,russia,havana,cuba,azores
105,moscow,russia,helsinki,finland,espoo
106,moscow,russia,kabul,afghanistan,pakistan
107,oslo,norway,tehran,iran,dassault
108,oslo,norway,bern,switzerland,aargau
109,oslo,norway,islamabad,pakistan,baluchistan
110,ottawa,canada,baghdad,iraq,iran
111,ottawa,canada,bern,switzerland,aargau
112,ottawa,canada,hanoi,vietnam,phnom
113,paris,france,bern,switzerland,aargau
114,paris,france,hanoi,vietnam,laos
115,paris,france,havana,cuba,spain
116,paris,france,helsinki,finland,espoo
117,paris,france,kabul,afghanistan,afghan
118,rome,italy,stockholm,sweden,gothenburg
119,rome,italy,tehran,iran,tenga
120,rome,italy,tokyo,japan,nagoya
121,rome,italy,baghdad,iraq,kirkuk
122,rome,italy,bangkok,thailand,narita
123,rome,italy,beijing,china,nanjing
124,rome,italy,bern,switzerland,trentino
125,rome,italy,cairo,egypt,agadir
126,rome,italy,canberra,australia,trentino
127,rome,italy,hanoi,vietnam,phnom
128,rome,italy,havana,cuba,agadir
129,rome,italy,helsinki,finland,espoo
130,rome,italy,islamabad,pakistan,tenga
131,rome,italy,london,england,hertfordshire
132,rome,italy,madrid,spain,venezia
133,rome,italy,moscow,russia,smolensk
134,rome,italy,oslo,norway,anterselva
135,rome,italy,ottawa,canada,saskatchewan
136,stockholm,sweden,baghdad,iraq,abbasid
137,stockholm,sweden,bern,switzerland,aargau
138,stockholm,sweden,hanoi,vietnam,tonkin
139,stockholm,sweden,rome,italy,papacy
140,tehran,iran,tokyo,japan,osaka
141,tehran,iran,athens,greece,athenian
142,tehran,iran,baghdad,iraq,iraqi
143,tehran,iran,bangkok,thailand,bangladesh
144,tehran,iran,bern,switzerland,aargau
145,tehran,iran,canberra,australia,nsw
146,tehran,iran,helsinki,finland,tallinn
147,tehran,iran,moscow,russia,macedonia
148,tehran,iran,ottawa,canada,manitoba
149,tehran,iran,rome,italy,caesar
150,tokyo,japan,bern,switzerland,aargau
